#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
591	NR_047519	chr1	+	827590	859446	859446	859446	6	827590,829002,847653,851926,852670,853390,	827775,829104,847806,852110,852766,859446,	0	LINC01128	unk	unk	-1,-1,-1,-1,-1,-1,
591	NR_047521	chr1	+	827590	859446	859446	859446	5	827590,829002,851926,852670,853390,	827775,829104,852110,852766,859446,	0	LINC01128	unk	unk	-1,-1,-1,-1,-1,
591	NR_047523	chr1	+	827590	859446	859446	859446	4	827590,829002,851926,853390,	827775,829104,852110,859446,	0	LINC01128	unk	unk	-1,-1,-1,-1,
591	NR_047524	chr1	+	827590	859446	859446	859446	4	827590,829002,852670,853390,	827775,829104,852766,859446,	0	LINC01128	unk	unk	-1,-1,-1,-1,
591	NR_047525	chr1	+	827797	859446	859446	859446	5	827797,829002,851926,852670,853390,	827849,829104,852110,852766,859446,	0	LINC01128	unk	unk	-1,-1,-1,-1,-1,
591	NR_027055	chr1	-	868070	876802	876802	876802	3	868070,874111,876745,	868675,875155,876802,	0	FAM41C	unk	unk	-1,-1,-1,
592	NM_001160184	chr1	+	966481	975865	966531	974575	15	966481,966703,970276,970520,970685,970878,971076,971323,972074,972287,972860,973499,973832,974315,974441,	966614,966803,970423,970601,970758,971006,971208,971404,972150,972424,973010,973640,974051,974364,975865,	0	PLEKHN1	cmpl	cmpl	0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,
592	NM_032129	chr1	+	966481	975865	966531	974575	16	966481,966703,970276,970520,970685,970878,971112,971323,972074,972287,972860,973185,973499,973832,974315,974441,	966614,966803,970423,970601,970758,971006,971208,971404,972150,972424,973010,973326,973640,974051,974364,975865,	0	PLEKHN1	cmpl	cmpl	0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,
592	NM_001291366	chr1	-	975197	982093	976171	981029	4	975197,976498,978880,982064,	976269,976624,981047,982093,	0	PERM1	cmpl	cmpl	1,1,0,-1,
592	NM_001291367	chr1	-	975197	982093	976171	981166	5	975197,976498,978880,981136,982064,	976269,976624,980657,981173,982093,	0	PERM1	cmpl	cmpl	1,1,0,0,-1,
592	NM_001369898	chr1	-	975197	981173	976171	981029	3	975197,976498,978880,	976269,976558,981173,	0	PERM1	cmpl	cmpl	1,1,0,
592	NM_152486	chr1	+	925730	944574	925941	944153	14	925730,925921,930154,931038,935771,939039,939274,941143,942135,942409,942558,943252,943697,943907,	925800,926013,930336,931089,935896,939129,939460,941306,942251,942488,943058,943377,943808,944574,	0	SAMD11	cmpl	cmpl	-1,0,0,2,2,1,1,1,2,1,2,1,0,0,
592	NM_198317	chr1	+	960583	965719	960693	965191	12	960583,961292,961628,961825,962354,962703,963108,963336,963919,964106,964348,964962,	960800,961552,961750,962047,962471,962917,963253,963504,964008,964180,964530,965719,	0	KLHL17	cmpl	cmpl	0,2,1,0,0,0,1,2,2,1,0,2,
592	NM_001367552	chr1	+	966481	975865	966531	974575	16	966481,966703,970276,970520,970685,970878,971076,971323,972074,972287,972860,973185,973499,973832,974315,974441,	966614,966803,970423,970601,970758,971006,971208,971404,972150,972424,973010,973326,973640,974051,974364,975865,	0	PLEKHN1	cmpl	cmpl	0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,
592	NM_015658	chr1	-	944202	959256	944693	959240	19	944202,945056,945517,946172,946401,948130,948489,951126,951999,952411,953174,953781,954003,955922,956094,956893,957098,958928,959214,	944800,945146,945653,946286,946545,948232,948603,951238,952139,952600,953288,953892,954082,956013,956215,957025,957273,959081,959256,	0	NOC2L	cmpl	cmpl	1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,2,0,
592	NM_001369897	chr1	-	975197	982093	976171	981029	4	975197,976498,978880,981969,	976269,976624,981173,982093,	0	PERM1	cmpl	cmpl	1,1,0,-1,
